Date,open,high,low,close,adjclose,volume,ingested_at_utc
17-05-2021,232000,232500,225000,227000,184870.2031,875528,2026-02-19 06:47:45.287325+00:00
18-05-2021,227500,232500,226000,231000,188127.8438,1034501,2026-02-19 06:47:45.287325+00:00
20-05-2021,228500,230500,224000,224500,182834.1875,1190072,2026-02-19 06:47:45.287325+00:00
21-05-2021,227000,233000,225500,227500,185277.4063,1333704,2026-02-19 06:47:45.287325+00:00
24-05-2021,227500,231000,226000,228000,185684.5781,765657,2026-02-19 06:47:45.287325+00:00
25-05-2021,230000,230000,225000,227500,185277.4063,781950,2026-02-19 06:47:45.287325+00:00
26-05-2021,227500,229000,222500,223500,182019.7969,1088210,2026-02-19 06:47:45.287325+00:00
27-05-2021,223000,223500,220000,220500,179576.5625,2306997,2026-02-19 06:47:45.287325+00:00
28-05-2021,223500,232500,223000,232000,188942.2344,2394356,2026-02-19 06:47:45.287325+00:00
31-05-2021,233000,235500,230500,235000,191385.4531,1132711,2026-02-19 06:47:45.287325+00:00
01-06-2021,235000,237500,232500,237000,193014.2344,1027141,2026-02-19 06:47:45.287325+00:00
02-06-2021,238500,243000,235500,238000,193828.6875,1707167,2026-02-19 06:47:45.287325+00:00
03-06-2021,238500,240500,236500,238500,194235.8438,1034103,2026-02-19 06:47:45.287325+00:00
04-06-2021,241500,243000,238000,241500,196679.0781,1333789,2026-02-19 06:47:45.287325+00:00
07-06-2021,244500,247500,240500,241500,196679.0781,1343895,2026-02-19 06:47:45.287325+00:00
08-06-2021,241500,245000,238500,243500,198307.9063,875362,2026-02-19 06:47:45.287325+00:00
09-06-2021,243000,245500,239000,239500,195050.2656,941037,2026-02-19 06:47:45.287325+00:00
10-06-2021,239000,240000,236000,236000,192199.8281,1094346,2026-02-19 06:47:45.287325+00:00
11-06-2021,237500,241500,237000,238500,194235.8438,687536,2026-02-19 06:47:45.287325+00:00
14-06-2021,238500,240000,235000,238000,193828.6875,561560,2026-02-19 06:47:45.287325+00:00
15-06-2021,238000,239000,235500,237000,193014.2344,471192,2026-02-19 06:47:45.287325+00:00
16-06-2021,237000,243000,237000,239500,195050.2656,778322,2026-02-19 06:47:45.287325+00:00
17-06-2021,239000,239500,236000,236500,192607.0625,724881,2026-02-19 06:47:45.287325+00:00
18-06-2021,237000,238000,235000,235000,191385.4531,1036077,2026-02-19 06:47:45.287325+00:00
21-06-2021,234000,236000,232000,233000,189756.6406,823355,2026-02-19 06:47:45.287325+00:00
22-06-2021,235500,243000,235000,241000,196271.875,1299242,2026-02-19 06:47:45.287325+00:00
23-06-2021,242000,243000,239000,242500,197493.5156,843399,2026-02-19 06:47:45.287325+00:00
24-06-2021,243500,249000,241000,242500,197493.5156,1494131,2026-02-19 06:47:45.287325+00:00
25-06-2021,243500,244000,241000,243000,197900.6719,537893,2026-02-19 06:47:45.287325+00:00
28-06-2021,244000,244500,240000,241000,196271.875,575102,2026-02-19 06:47:45.287325+00:00
29-06-2021,240500,242500,239000,239500,195862.9688,627915,2026-02-19 06:47:45.287325+00:00
30-06-2021,240000,241000,238500,239500,195862.9688,653096,2026-02-19 06:47:45.287325+00:00
01-07-2021,238500,243000,236000,242000,197907.4531,1031692,2026-02-19 06:47:45.287325+00:00
02-07-2021,243500,243500,239000,239000,195454.0781,829518,2026-02-19 06:47:45.287325+00:00
05-07-2021,239000,240000,235000,236000,193000.7188,861912,2026-02-19 06:47:45.287325+00:00
06-07-2021,236500,238000,235500,236000,193000.7188,497009,2026-02-19 06:47:45.287325+00:00
07-07-2021,235000,235500,232000,232000,189729.4844,1122107,2026-02-19 06:47:45.287325+00:00
08-07-2021,232000,233000,229000,229500,187684.9844,1241792,2026-02-19 06:47:45.287325+00:00
09-07-2021,227500,229000,225000,226000,184822.7031,1137429,2026-02-19 06:47:45.287325+00:00
12-07-2021,229000,232000,228000,230000,188093.8906,529258,2026-02-19 06:47:45.287325+00:00
13-07-2021,230000,231500,229000,230000,188093.8906,518563,2026-02-19 06:47:45.287325+00:00
14-07-2021,230500,232500,228500,230000,188093.8906,582990,2026-02-19 06:47:45.287325+00:00
15-07-2021,230000,232500,229500,231500,189320.5938,546166,2026-02-19 06:47:45.287325+00:00
16-07-2021,230000,230500,228000,230000,188093.8906,468595,2026-02-19 06:47:45.287325+00:00
19-07-2021,228000,228500,227000,227500,186049.3906,432339,2026-02-19 06:47:45.287325+00:00
